category,round,value,clue,answer
TV SHOWS BY EPISODES,2,2000,"""Meeseeks and Destroy"", ""Interdimensional Cable 2: Tempting Fate""",Rick and Morty
,,,,
U.S. GEOGRAPHY,1,200,The fittingly named Mount Sunflower shines as the highest point in this state,Kansas
,,,,
U.S. GEOGRAPHY,1,400,North Rim Country Store in Kaibab National Forest sits 6 miles away from this natural wonder,the Grand Canyon
,,,,
U.S. GEOGRAPHY,1,600,Cicero & Oak Park are western suburbs of this Midwestern metropolis,Chicago
,,,,
U.S. GEOGRAPHY,1,800,"Perry, Maine has a marker for this latitudinal line signifying the halfway point between the equator & North Pole",the 45th parallel
,,,,
U.S. GEOGRAPHY,1,1000,"At its south end this 25,000-square-mile desert named for a people borders the Sonoran Desert",the Mojave
,,,,
U.S. SENATOR RHYME TIME,1,200,McConnell's curveballs,Mitch's pitches
,,,,
U.S. SENATOR RHYME TIME,1,400,Booker's anecdotes,Cory's stories
,,,,
U.S. SENATOR RHYME TIME,1,600,Cruz' prescription pills,Ted's meds
,,,,
U.S. SENATOR RHYME TIME,1,800,Independent Angus' violin section,King's strings
,,,,
U.S. SENATOR RHYME TIME,1,1000,Sherrod's new teeth,Brown's crowns
,,,,
VOLCANOES,2,400,Seen here are the ruins of the Temple of Jupiter in Pompeii with this volcano lurking innocently in the background,Mount Vesuvius
,,,,
VOLCANOES,2,800,"Beneath this U.S. national park isn't just a volcano, but a supervolcano that has had 3 super eruptions & could blow again",Yellowstone
,,,,
VOLCANOES,2,1200,In December 2019 a tourist excursion turned deadly when a volcano erupted on this country's White Island,New Zealand
,,,,
VOLCANOES,2,1600,"Mount Erebus, the most southerly active volcano, is located on this Antarctic island that shares its name with an ice shelf",Ross
,,,,
VOLCANOES,2,2000,"In 1883 an explosive eruption of this volcano in the Sunda Strait could be heard nearly 3,000 miles away",Krakatoa
,,,,
"WAIT A BEAT, THEN ""GO""",2,400,Any self-centered person who probably thinks this clue is about them,an egotist
,,,,
"WAIT A BEAT, THEN ""GO""",2,800,The musical stylings of Orpheus helped this crew escape the Sirens' song,the Argonauts
,,,,
"WAIT A BEAT, THEN ""GO""",2,1200,"Botticelli painted a trying time for Jesus in his work titled this ""in the Garden""",Agony
,,,,
"WAIT A BEAT, THEN ""GO""",2,1600,The spire on the top of one of these Japanese temples is called a sorin,pagoda
,,,,
"WAIT A BEAT, THEN ""GO""",2,2000,"Excessive nationalism can also be called this other type of ""-ism""",jingoism
,,,,
"WAR, AMERICAN STYLE",1,200,"The battles of Bennington, Brandywine & Saratoga all occurred in the same year during this war",the Revolutionary War
,,,,
"WAR, AMERICAN STYLE",1,400,The USO was shut down in 1947 but was back in 1951 due to this conflict,the Korean War
,,,,
"WAR, AMERICAN STYLE",1,1000,"By a vote of 19-13, the Senate passed the declaration of war for what would be called this, aka ""Mr. Madison's War""",the War of 1812
,,,,
"WAR, AMERICAN STYLE",1,800,"During the Spanish-American War, with no casualties the USS Charleston took this Pacific island, today a U.S. possession",Guam
,,,,
"WAR, AMERICAN STYLE",1,1000,"Well into 1941 this American hero was against the U.S. entering WWII, but he later flew 50 combat missions in the Pacific",Charles Lindbergh
,,,,
WE'LL GIVE YOU SOME LATITUDE,2,400,"France lays claim to Adelie Land, though at 66 degrees 30 minutes south, it's part of this continent",Antarctica
,,,,
WE'LL GIVE YOU SOME LATITUDE,2,800,"(Sarah of the Clue Crew presents by a display monitor.) In Africa, the line of 10 degrees north latitude passes through 14 countries from Guinea to this sovereign nation",Somalia
,,,,
WE'LL GIVE YOU SOME LATITUDE,2,1200,"The Admiralty Islands are part of Papua New Guinea; Admiralty Island, at 57 degrees 44 minutes north, part of this state",Alaska
,,,,
WE'LL GIVE YOU SOME LATITUDE,2,1600,"If you know that this resort city & port on Mexico's west coast is at latitude 16 degrees 51 minutes north, you get the gold",Acapulco
,,,,
WE'LL GIVE YOU SOME LATITUDE,2,2000,"Circle the world at 45 degrees north & you'll pass through Lake Huron & this shrinking ""Sea"" of Kazakhstan & Uzbekistan",the Aral Sea
,,,,
WESTWARD HO!,1,200,Georgia,Alabama
,,,,
WESTWARD HO!,1,400,Montana,Idaho
,,,,
WESTWARD HO!,1,600,Indiana,Illinois
,,,,
WHAT TO WEAR,1,200,"Try an animal print, like this cat, whether snow or clouded",leopard
,,,,
WHAT TO WEAR,1,400,"Similar in name to mini & maxi, this dress length that reaches the calf",midi
,,,,
WHAT TO WEAR,1,600,"This raincoat, just like Columbo & reporters in movies",a trenchcoat
,,,,
WHAT TO WEAR,1,800,"This long loose Turkish dress that can start with a ""C"" or a ""K""",a kaftan
,,,,
WHAT TO WEAR,1,1000,A sweater with this type of collar named for another garment,a shawl
,,,,
WJPY CLASSICAL RADIO,1,600,"On Sunday at 2 P.M. I'll feature Vivaldi when I host my weekly show ""If It Ain't"" this musical period",Baroque
,,,,
WJPY CLASSICAL RADIO,1,800,"Next, a recording from a group making music since 1815, with the alliterative name the Handel & this Composer Society",Haydn
,,,,
WJPY CLASSICAL RADIO,1,1000,Time to liven up your commute with the overture to this 1866 Smetana opera about a young woman's marriage prospects,The Bartered Bride
,,,,
WORD WORDS,1,200,"Add ""Y"" to the kind of clock with hands & numbers to get this type of comparison",analogy
,,,,
WORD WORDS,1,400,"An idioticon is a dictionary of this ""D"" word, a form of a language spoken in a particular region",a dialect
,,,,
WORD WORDS,1,600,"To talk without preparation is to ad-lib or to speak this ""sleeve-oriented"" way",off the cuff
,,,,
WORD WORDS,1,800,It's a dramatic monologue or speech made to oneself,a soliloquy
,,,,
WORD WORDS,1,1000,Lapsus linguae is literally Latin for this kind of mistake,a slip of the tongue
,,,,
WORDS & PHRASES,2,800,"The Semitic word abaq, meaning ""sand"", gave us this word for a device that did arithmetic much faster than a sand table",an abacus
,,,,
WORDS & PHRASES,2,1200,A delphinestrian is someone who rides this sea creature,a dolphin
,,,,
WORDS & PHRASES,2,2500,"Originally a sci-fi term for a trainee astronaut, this 2-word term now describes someone not in touch with reality",a space cadet
,,,,
WORDS & PHRASES,2,2000,"The sensation of being creeped out by robots that look close to, but not exactly human, is called the ""uncanny"" this",valley
,,,,
WRITERS ANONYMOUS,1,200,"The anonymous author of the 2019 book ""A Warning"" is listed as a senior official in this administration",the Trump Administration
,,,,
WRITERS ANONYMOUS,1,400,This anonymous Old English poem about a hero fighting monsters survives in the Nowell Codex at the British Library,"""Beowulf"""
,,,,
WRITERS ANONYMOUS,1,600,"These 85 essays were attributed to ""Publius"" when they appeared in New York newspapers from 1787 to 1788",the Federalist Papers
,,,,
WRITERS ANONYMOUS,1,800,"Tender-Conscience is the hero of an anonymous author's ""Third Part"" of this work, tacked on to John Bunyan's parts 1 & 2",The Pilgrim's Progress
,,,,
WRITERS ANONYMOUS,1,1000,"In 1827 this 18-year-old American anonymously published ""Tamerlane and Other Poems"", including ""Visit of the Dead""",Edgar Allan Poe
,,,,
YANKEE STADIUM,1,200,"In 2009 Jorge Posada hit the first HR in the new Yankee Stadium; in 1923 the first in the old park was, naturally, hit by this man",Babe Ruth
,,,,
YANKEE STADIUM,1,400,"All rise! On June 11, 2017, a ball landed in the bleachers 495' from home plate, off the bat of this 6'7"" Yankee",Aaron Judge
,,,,
YANKEE STADIUM,1,600,It wasn't just baseball at the old stadium; this Frank Gifford team moved there in 1956 & promptly won a championship,the New York Giants
,,,,
YANKEE STADIUM,1,800,"Stadium swan songs include this immortal center fielder's, getting the Yanks' only hit off Luis Tiant Sept. 25, 1968",Mickey Mantle
,,,,
YANKEE STADIUM,1,1000,"A museum at the stadium has statues of World Series hero Don Larsen & 60' 6"" away, this great Yankee",Yogi Berra
,,,,
YESTERDAY,1,200,In 1860 this service got its first delivery from Missouri to California in 10 days,the Pony Express
,,,,
YESTERDAY,1,400,"Legally speaking, in 1794 William Bradford became the second person to hold this cabinet post",Attorney General
,,,,
YESTERDAY,1,1000,"Gerald Ford tried to tackle a big 1970s economic problem with the ""WIN"" program, or ""Whip"" this ""Now""",Inflation
,,,,
YESTERDAY,1,800,"This German trade organization that helped the growth of Riga & Tallinn was in a ""League"" of its own",the Hanseatic League
,,,,
YESTERDAY,1,1000,A famine was one factor that led the Ethiopian army to depose this emperor in 1974,Haile Selassie
,,,,
YOU GOTTA FIGHT!,1,200,"Before becoming a UFC champ, Ronda Rousey was the 1st U.S. woman to win an Olympic medal in this martial art",judo
,,,,
YOU GOTTA FIGHT!,1,400,"In 2011, this man went 12 rounds to beat Juan Manuel M�rquez, got 28 stitches, then hit the House of Blues to sing ""La Bamba""",Manny Pacquiao
,,,,
YOU GOTTA FIGHT!,1,600,This nickname of unjustly imprisoned boxer Rubin Carter was the title of the Denzel Washington film about him,Hurricane
,,,,
YOU GOTTA FIGHT!,1,800,No bones about it--this dominant UFC light heavyweight has a brother who plays linebacker for the Arizona Cardinals,"Jon ""Bones"" Jones"
,,,,
YOU GOTTA FIGHT!,1,1000,"A goal, an assist & a fight in the same game is a hockey ""hat trick"" named for this Red Wing but he only had 2 himself in 32 years",(Gordie) Howe
,,,,
YOU SAY IT'S YOUR BIRTHSTONE,2,400,This type of beryl for the merry month of May will leave you green with envy,an emerald
,,,,
YOU SAY IT'S YOUR BIRTHSTONE,2,800,Think water & semper fi as March marches in with this birthstone,aquamarine
,,,,
YOU SAY IT'S YOUR BIRTHSTONE,2,1200,"Catch some Zs (well, one) at the end of this aluminum silicate & November stone",topaz
,,,,
YOU SAY IT'S YOUR BIRTHSTONE,2,2000,June features this; its surface luster is called orient,a pearl
,,,,
YOU SAY IT'S YOUR BIRTHSTONE,2,2000,This precious September stone is known for its blue variety,sapphire
